index,name,constellation,right_ascension,declination,apparent_magnitude,absolute_magnitude,distance_light_year,spectral_class
0,α And,Andromeda,0.13976944444444445,29.090833333333332,2.07,-0.3,97.0,B9p
1,β And,Andromeda,1.1621666666666666,35.62083333333334,2.07,-1.86,199.0,M0IIIvar
2,γ1 And,Andromeda,2.0649777777777776,42.329861111111114,2.1,-3.08,355.0,K3IIb
3,δ And,Andromeda,0.6554444444444445,30.861222222222224,3.27,0.81,101.0,K3III...
5,51 And,Andromeda,1.6331944444444444,48.6285,3.59,-0.04,174.0,K3III
6,ο And,Andromeda,23.032013888888887,42.32597222222223,3.62,-3.01,692.0,B6pv SB
7,λ And,Andromeda,23.626030555555555,46.45916666666667,3.81,1.75,84.0,G8III-IV
8,μ And,Andromeda,0.9458611111111112,38.49925,3.86,0.75,136.0,A5V
9,ζ And,Andromeda,0.7889972222222222,24.26738888888889,4.08,0.35,181.0,K1II
10,υ And,Andromeda,1.613327777777778,41.406388888888884,4.1,3.45,44.0,F8V
11,κ And,Andromeda,23.673455555555556,44.33397222222222,4.15,0.57,170.0,B9IVn
12,φ And,Andromeda,1.1583666666666665,47.24183333333333,4.26,-2.51,736.0,B7III
13,ι And,Andromeda,23.635605555555554,43.26808333333333,4.29,-1.65,502.0,B8V
14,π And,Andromeda,0.6146777777777778,33.71936111111111,4.34,-2.18,656.0,B5V
15,ε And,Andromeda,0.6426388888888889,29.312361111111112,4.34,0.77,169.0,G5III...
16,η And,Andromeda,0.9534527777777777,23.41775,4.4,0.04,243.0,G8III-IV
17,σ And,Andromeda,0.305475,36.785333333333334,4.51,1.33,141.0,A2V
18,ν And,Andromeda,0.8302305555555556,41.078944444444446,4.53,-2.06,679.0,B5V SB
19,7 And,Andromeda,23.209144444444444,49.40597222222222,4.53,2.58,80.0,F0V
20,θ And,Andromeda,0.2848722222222222,38.681666666666665,4.61,0.16,253.0,A2V
21,3 And,Andromeda,23.069675,50.05169444444444,4.64,0.94,179.0,K0III
22,65 And,Andromeda,2.4270555555555555,50.278666666666666,4.73,-0.39,345.0,K4III
23,58 And,Andromeda,2.1414305555555555,37.85919444444445,4.78,0.86,198.0,A5IV-V
24,8 And,Andromeda,23.29572777777778,49.015277777777776,4.82,-1.69,655.0,M2III
25,ω And,Andromeda,1.4608583333333334,45.40694444444444,4.83,2.57,92.0,F5IV
26,γ2 And,Andromeda,2.0651944444444443,42.33083333333334,4.84,-0.3,350.0,B8V
27,60 And,Andromeda,2.220372222222222,44.23169444444444,4.84,-1.32,556.0,K4III
28,ξ And,Andromeda,1.3723305555555556,45.52875,4.87,0.98,195.0,K0III-IV
29,τ And,Andromeda,1.6763333333333332,40.577111111111115,4.96,-1.64,681.0,B8III
